Frame extends: 2263, 1306
_ms_area: 10
mouse movement measurements taken: 584
mouse_pos_x	mouse_pos_y	grid_location_x	grid_location_y
Begin
504 633 50 63
494 634 49 63
493 635 49 64
484 637 48 64
467 641 47 64
464 642 46 64
458 645 46 65
454 646 45 65
444 650 44 65
434 654 43 65
432 655 43 66
424 658 42 66
414 662 41 66
409 665 41 67
404 667 40 67
394 671 39 67
387 675 39 68
384 676 38 68
374 680 37 68
367 685 37 69
364 687 36 69
356 695 36 70
354 695 35 70
344 704 34 70
344 705 34 71
337 715 34 72
335 725 34 73
334 727 33 73
331 735 33 74
329 746 33 75
329 755 33 76
329 765 33 77
329 775 33 78
329 785 33 79
329 795 33 80
329 805 33 81
329 833 33 83
329 836 33 84
329 845 33 85
329 855 33 86
330 865 33 87
332 875 33 88
335 883 34 88
335 885 34 89
338 895 34 90
341 905 34 91
345 914 35 91
346 915 35 92
350 925 35 93
355 931 36 93
357 935 36 94
364 945 36 95
365 945 37 95
373 955 37 96
375 956 38 96
384 965 38 97
385 966 39 97
395 975 40 98
405 982 41 98
411 987 41 99
415 989 42 99
423 995 42 100
425 996 43 100
435 1001 44 100
441 1005 44 101
446 1007 45 101
455 1012 46 101
461 1015 46 102
465 1017 47 102
475 1022 48 102
481 1025 48 103
485 1026 49 103
495 1030 50 103
505 1034 51 103
506 1035 51 104
515 1037 52 104
525 1040 53 104
540 1043 54 104
545 1044 55 104
549 1045 55 105
555 1046 56 105
577 1050 58 105
585 1052 59 105
595 1053 60 105
605 1054 61 105
608 1055 61 106
615 1056 62 106
625 1057 63 106
635 1058 64 106
645 1059 65 106
655 1060 66 106
665 1061 67 106
675 1061 68 106
685 1063 69 106
695 1063 70 106
705 1064 71 106
715 1064 72 106
719 1065 72 107
725 1065 73 107
735 1066 74 107
745 1066 75 107
755 1066 76 107
765 1066 77 107
775 1067 78 107
785 1067 79 107
795 1068 80 107
805 1069 81 107
815 1070 82 107
825 1071 83 107
835 1072 84 107
845 1073 85 107
856 1074 86 107
862 1075 86 108
865 1075 87 108
875 1075 88 108
885 1076 89 108
895 1077 90 108
905 1078 91 108
915 1078 92 108
925 1079 93 108
935 1080 94 108
945 1081 95 108
955 1082 96 108
965 1082 97 108
975 1083 98 108
986 1083 99 108
995 1084 100 108
1005 1084 101 108
1015 1084 102 108
1017 1085 102 109
1025 1085 103 109
1040 1085 104 109
1048 1085 105 109
1055 1086 106 109
1065 1086 107 109
1075 1086 108 109
1085 1086 109 109
1096 1086 110 109
1105 1086 111 109
1115 1086 112 109
1126 1086 113 109
1135 1086 114 109
1146 1086 115 109
1155 1086 116 109
1166 1086 117 109
1175 1086 118 109
1185 1085 119 109
1188 1084 119 108
1195 1084 120 108
1205 1082 121 108
1215 1081 122 108
1225 1081 123 108
1235 1081 124 108
1245 1080 125 108
1255 1080 126 108
1265 1079 127 108
1275 1078 128 108
1286 1077 129 108
1295 1077 130 108
1305 1077 131 108
1315 1077 132 108
1325 1077 133 108
1335 1077 134 108
1345 1077 135 108
1355 1077 136 108
1365 1079 137 108
1375 1080 138 108
1385 1081 139 108
1395 1081 140 108
1405 1083 141 108
1416 1084 142 108
1418 1085 142 109
1425 1085 143 109
1437 1088 144 109
1445 1088 145 109
1455 1089 146 109
1465 1090 147 109
1476 1091 148 109
1485 1092 149 109
1495 1093 150 109
1505 1093 151 109
1515 1093 152 109
1525 1093 153 109
1535 1094 154 109
1545 1094 155 109
1555 1094 156 109
1565 1094 157 109
1566 1095 157 110
1575 1095 158 110
1585 1095 159 110
1596 1096 160 110
1605 1096 161 110
1615 1096 162 110
1625 1097 163 110
1635 1097 164 110
1645 1097 165 110
1655 1098 166 110
1665 1098 167 110
1675 1099 168 110
1685 1099 169 110
1695 1100 170 110
1705 1100 171 110
1715 1101 172 110
1725 1101 173 110
1735 1103 174 110
1748 1104 175 110
1753 1105 175 111
1755 1105 176 111
1765 1106 177 111
1775 1107 178 111
1785 1108 179 111
1798 1109 180 111
1806 1111 181 111
1815 1112 182 111
1825 1112 183 111
1835 1113 184 111
1850 1114 185 111
1855 1114 186 111
1858 1115 186 112
1865 1116 187 112
1877 1117 188 112
1885 1118 189 112
1895 1120 190 112
1905 1121 191 112
